No,NAMOBJ,Kerugian_Fisik,Kerugian_Ekonomi,Total_Kerugian,Kelas_Kerugian,Potensi_Kerusakan_Lingkungan_Ha,Kelas
1,MEDANAMPLAS,,396.61,396.61,SEDANG,31.99,SEDANG
2,MEDANAREA,,,,-,,-
3,MEDAN BARAT,,50.99,50.99,SEDANG,4.53,SEDANG
4,MEDANBARU,,78.4,78.4,SEDANG,5.42,SEDANG
5,MEDANBELAWAN,,7127.59,7127.59,SEDANG,676.27,SEDANG
6,MEDANDELI,,1312.95,1312.95,SEDANG,91.53,SEDANG
7,MEDANDENAI,,119.64,119.64,SEDANG,29.09,SEDANG
8,MEDANHELVETIA,,545.68,545.68,SEDANG,37.15,SEDANG
9,MEDANJOHOR,,1084.68,1084.68,SEDANG,85.15,SEDANG
10,MEDANKOTA,,52.33,52.33,SEDANG,0.66,SEDANG
11,MEDANLABUHAN,10919.07,,10919.07,SEDANG,409.98,SEDANG
12,MEDANMAIMUN,,137.53,137.53,SEDANG,2.26,SEDANG
13,MEDANMARELAN,5844.89,,5844.89,SEDANG,305.09,SEDANG
14,MEDANPERJUANGAN,,6.71,6.71,SEDANG,1.52,SEDANG
15,MEDANPETISAH,,8.05,8.05,SEDANG,0.55,SEDANG
16,MEDANPOLONIA,,595.62,595.62,SEDANG,36.34,SEDANG
17,MEDANSELAYANG,,1973.68,1973.68,SEDANG,72.01,SEDANG
18,MEDANSUNGGAL,,621.88,621.88,SEDANG,48.28,SEDANG
19,MEDANTEMBUNG,,22.81,22.81,SEDANG,3.15,SEDANG
20,MEDANTIMUR,,104.28,104.28,SEDANG,,-
21,MEDANTUNTUNGAN,,5576.61,5576.61,SEDANG,131.37,SEDANG
